"Mês/Ano";"Tipo";"Tipo de Favorecido";"UF";"Nome do Favorecido";"CPF/CNPJ";"Município";"Função";"Programa Orçamentário";"Ação Orçamentária";"Linguagem Cidadã";"Valor Transferido";
"05/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"03.904.395/0001-45";"JABOATÃO DOS GUARARAPES";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.840.000,00";
"05/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CARUARU";"13.454.844/0001-54";"CARUARU";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.692.248,10";
"05/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"09.342.856/0001-10";"GARANHUNS";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"116.254,15";
"05/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"06.914.894/0001-01";"PETROLINA";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"10.974.866,54";
"05/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"MUNICIPIO DE JABOATAO - FUNDO MUNICIPAL ,DE ASSISTENCIA SOCIAL - FMAS";"15.356.855/0001-27";"JABOATÃO DOS GUARARAPES";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.098.559,05";
"05/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"11.371.082/0001-05";"CARUARU";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"2.000.000,00";
"05/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"41.090.291/0001-33";"RECIFE";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"20.266.709,47";
"05/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FMAS- FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";"10.782.874/0001-00";"GARANHUNS";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.054.863,96";
"06/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";"11.443.167/0001-43";"OLINDA";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"808.873,29";
"06/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FMAS- FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";"10.782.874/0001-00";"GARANHUNS";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"957.213,96";
"06/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"MUNICIPIO DE JABOATAO - FUNDO MUNICIPAL ,DE ASSISTENCIA SOCIAL - FMAS";"15.356.855/0001-27";"JABOATÃO DOS GUARARAPES";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.098.559,05";
"06/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"41.090.291/0001-33";"RECIFE";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"5.395.807,61";
"06/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"03.904.395/0001-45";"JABOATÃO DOS GUARARAPES";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"4.171.626,97";
"06/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE DE OLINDA";"09.131.029/0001-87";"OLINDA";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.858.864,04";
"06/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";"16.986.047/0001-06";"PETROLINA";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.791.286,80";
"06/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";"01.381.036/0001-25";"RECIFE";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"2.264.395,80";
"06/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"09.342.856/0001-10";"GARANHUNS";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"2.725.586,59";
"06/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CARUARU";"13.454.844/0001-54";"CARUARU";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.382.498,10";
"06/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"06.914.894/0001-01";"PETROLINA";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"10.000,00";
"07/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"06.914.894/0001-01";"PETROLINA";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"8.676.053,00";
"07/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"11.371.082/0001-05";"CARUARU";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"8.589.857,00";
"07/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"09.342.856/0001-10";"GARANHUNS";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"4.995.000,00";
"07/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE DE OLINDA";"09.131.029/0001-87";"OLINDA";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"3.700.000,00";
"07/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"MUNICIPIO DE JABOATAO - FUNDO MUNICIPAL ,DE ASSISTENCIA SOCIAL - FMAS";"15.356.855/0001-27";"JABOATÃO DOS GUARARAPES";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.036.260,00";
"07/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"03.904.395/0001-45";"JABOATÃO DOS GUARARAPES";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"16.162.408,00";
"07/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"41.090.291/0001-33";"RECIFE";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"15.246.805,00";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FMAS- FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";"10.782.874/0001-00";"GARANHUNS";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"261.879,99";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"06.914.894/0001-01";"PETROLINA";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"781.690,00";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";"01.381.036/0001-25";"RECIFE";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.487.198,60";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"MUNICIPIO DE JABOATAO - FUNDO MUNICIPAL ,DE ASSISTENCIA SOCIAL - FMAS";"15.356.855/0001-27";"JABOATÃO DOS GUARARAPES";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"622.909,30";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"03.904.395/0001-45";"JABOATÃO DOS GUARARAPES";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"2.029.030,00";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CARUARU";"13.454.844/0001-54";"CARUARU";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"508.612,70";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"11.371.082/0001-05";"CARUARU";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.940.418,00";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";"11.443.167/0001-43";"OLINDA";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"454.852,06";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";"16.986.047/0001-06";"PETROLINA";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"516.875,60";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"09.342.856/0001-10";"GARANHUNS";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"3.141.454,00";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE DE OLINDA";"09.131.029/0001-87";"OLINDA";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"3.985.384,00";
"08/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"41.090.291/0001-33";"RECIFE";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"30.578.797,00";
"09/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"09.342.856/0001-10";"GARANHUNS";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.409.622,93";
"09/2020";"Legais, Voluntárias e Específicas";"Entidades Empresariais Privadas";"PE";"SENFIO SOLUCOES  TECNOLOGICAS LTDA";"11.518.191/0001-02";"RECIFE";"Ciência e Tecnologia";"TECNOLOGIAS APLICADAS, INOVACAO E DESENVOLVIMENTO SUSTENTAVE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"589.401,10";
"09/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL";"01.381.036/0001-25";"RECIFE";"Assistência social";"PROTECAO SOCIAL NO AMBITO DO SISTEMA UNICO DE ASSISTENCIA SO";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"288.000,00";
"09/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE DE OLINDA";"09.131.029/0001-87";"OLINDA";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"3.175.121,90";
"09/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"03.904.395/0001-45";"JABOATÃO DOS GUARARAPES";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"4.847.863,02";
"09/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"11.371.082/0001-05";"CARUARU";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"2.888.584,02";
"09/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"06.914.894/0001-01";"PETROLINA";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"29.940.189,53";
"09/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"41.090.291/0001-33";"RECIFE";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"16.156.268,66";
"10/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE DE OLINDA";"09.131.029/0001-87";"OLINDA";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"400.000,00";
"10/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"41.090.291/0001-33";"RECIFE";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"3.500.000,00";
"10/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"03.904.395/0001-45";"JABOATÃO DOS GUARARAPES";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"1.880.000,00";
"10/2020";"Legais, Voluntárias e Específicas";"Fundo Público";"PE";"FUNDO MUNICIPAL DE SAUDE";"06.914.894/0001-01";"PETROLINA";"Saúde";"ATENCAO ESPECIALIZADA A SAUDE";"ENFRENTAMENTO DA EMERGENCIA DE SAUDE PUBLICA DE IMPORTANCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS";"Sem informação";"600.000,00";
"11/2020";"Legais, Voluntárias e Específicas";"Entidades Sem Fins Lucrativos";"PE";"CONSELHO DO CENTRO MUNICIPAL DE EDUCACAO INFANTIL FAUSTA SIQUEIRA";"10.543.339/0001-98";"PETROLINA";"Educação";"EDUCACAO BASICA DE QUALIDADE";"DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"1.873,45";
"11/2020";"Legais, Voluntárias e Específicas";"Entidades Sem Fins Lucrativos";"PE";"CONSELHO DO CENTRO MUNICIPAL DE EDUCACAO INFANTIL DR. NESTOR CAVALCANTE";"10.883.013/0001-00";"PETROLINA";"Educação";"EDUCACAO BASICA DE QUALIDADE";"DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"2.811,60";
"11/2020";"Legais, Voluntárias e Específicas";"Entidades Sem Fins Lucrativos";"PE";"CONSELHO ESCOLAR DA ESCOLA MUNICIPAL DO DOM";"11.254.579/0001-35";"RECIFE";"Educação";"EDUCACAO BASICA DE QUALIDADE";"DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"2.067,55";
